STRNAME,SURFACE,FEDAID,COND_2019,COND_2021,COND_2022,COND_2023,COND_2024,COND_2025
10th St,Asphalt,No,Poor,Poor,Poor,Poor,Poor,Poor
10th St,Asphalt,No,Poor,Poor,Poor,Poor,Poor,Poor
10th St,Asphalt,No,Poor,Poor,Poor,Poor,Poor,Poor
10th St,Asphalt,No,Poor,Poor,Poor,Poor,Fair,Fair
10th St,Asphalt,No,Poor,Poor,Poor,Poor,Poor,Poor
10th St,Asphalt,No,Poor,Poor,Poor,Poor,Poor,Poor
10th St,Asphalt,No,Poor,Poor,Poor,Poor,Poor,Poor
10th St,Asphalt,No,Poor,Poor,Poor,Poor,Poor,Poor
10th St,Asphalt,No,Good,Good,Good,Good,Good,Good
10th St,Asphalt,No,Poor,Poor,Good,Good,Good,Good
10th St,Asphalt,No,Good,Good,Good,Good,Good,Good
11th St,Concrete,No,Poor,Poor,Poor,Poor,Poor,Poor
11th St,Concrete,No,Poor,Poor,Poor,Poor,Poor,Poor
11th St,Concrete,No,Poor,Poor,Poor,Poor,Fair,Fair
11th St,Concrete,No,Poor,Poor,Poor,Poor,Good,Good
11th St,Asphalt,No,Poor,Poor,Poor,Poor,Poor,Poor
11th St,Asphalt,No,Poor,Poor,Poor,Poor,Poor,Poor
11th St,Asphalt,No,Poor,Poor,Poor,Poor,Poor,Poor
11th St,Asphalt,No,Fair,Fair,Poor,Poor,Poor,Poor
11th St,Asphalt,No,Fair,Fair,Poor,Poor,Poor,Poor
11th St,Asphalt,No,Poor,Poor,Good,Good,Good,Good
12th St,Asphalt,No,Poor,Poor,Poor,Poor,Poor,Poor
12th St,Asphalt,No,Poor,Poor,Poor,Poor,Poor,Poor
12th St,Asphalt,No,Poor,Poor,Poor,Poor,Poor,Poor
12th St,Asphalt,No,Fair,Fair,Poor,Poor,Poor,Poor
12th St,Asphalt,No,Poor,Poor,Poor,Poor,Fair,Fair
12th St,Asphalt,No,Poor,Poor,Poor,Poor,Fair,Fair
12th St,Concrete,No,Poor,Poor,Poor,Poor,Fair,Fair
12th St,Asphalt,No,Poor,Poor,Poor,Poor,Poor,Poor
12th St,Asphalt,No,Fair,Fair,Good,Good,Good,Good
12th St,Asphalt,No,Poor,Poor,Good,Good,Good,Good
12th St,Concrete,Yes,Poor,Fair,Fair,Fair,Fair,Poor
12th St,Concrete,Yes,Poor,Fair,Fair,Fair,Fair,Poor
12th St,Concrete,Yes,Fair,Fair,Fair,Fair,Fair,Poor
12th St,Concrete,Yes,Fair,Fair,Fair,Fair,Fair,Poor
12th St,Concrete,Yes,Fair,Fair,Fair,Fair,Fair,Poor
12th St,Concrete,Yes,Fair,Fair,Fair,Fair,Fair,Poor
12th St,Concrete,Yes,Fair,Fair,Fair,Poor,Poor,Poor
12th St,Concrete,Yes,Fair,Fair,Fair,Poor,Poor,Poor
12th St,Concrete,Yes,Fair,Fair,Fair,Poor,Poor,Poor
12th St,Concrete,Yes,Fair,Fair,Fair,Poor,Poor,Poor
12th St,Concrete,Yes,Fair,Fair,Fair,Fair,Fair,Poor
12th St,Concrete,Yes,Fair,Fair,Fair,Fair,Fair,Poor
12th St,Concrete,Yes,Fair,Fair,Fair,Fair,Fair,Poor
12th St,Concrete,Yes,Fair,Fair,Fair,Fair,Fair,Poor
12th St,Concrete,Yes,Fair,Fair,Fair,Fair,Fair,Fair
12th St,Concrete,Yes,Fair,Fair,Fair,Fair,Fair,Fair
12th St,Concrete,Yes,Poor,Fair,Fair,Poor,Poor,Poor
12th St,Concrete,Yes,Fair,Fair,Fair,Poor,Poor,Poor
12th St,Concrete,Yes,Fair,Fair,Fair,Fair,Fair,Poor
12th/N I 75 RAMP (038G),Concrete,Yes,Fair,Fair,Fair,Fair,Fair,Fair
12th/N I 75 RAMP (038G),Concrete,Yes,Fair,Fair,Fair,Fair,Fair,Fair
12th/N I 75 RAMP (038G),Concrete,Yes,Poor,Poor,Poor,Poor,Poor,Fair
12th/N I 75 RAMP (038G),Concrete,Yes,Fair,Fair,Fair,Good,Good,Fair
12th/N I 75 RAMP (038G),Concrete,Yes,Fair,Fair,Fair,Good,Good,Fair
12th/S I 75 CD RAMP (038B),Asphalt,Yes,Poor,Fair,Fair,Good,Good,Poor
12th/S I 75 CD RAMP (038B),Asphalt,Yes,Poor,Fair,Fair,Good,Good,Fair
13th St,Concrete,No,Poor,Poor,Poor,Poor,Poor,Poor
13th St,Asphalt,No,Poor,Poor,Poor,Poor,Poor,Poor
13th St,Asphalt,No,Poor,Poor,Poor,Poor,Poor,Poor
13th St,Asphalt,No,Poor,Poor,Poor,Poor,Poor,Poor
13th St,Asphalt,No,Good,Good,Fair,Fair,Fair,Fair
13th St,Asphalt,No,Good,Good,Good,Good,Good,Good
13th St,Asphalt,No,Fair,Fair,Good,Good,Good,Good
14th St,Asphalt,No,Poor,Poor,Poor,Poor,Poor,Poor
14th St,Concrete,No,Poor,Poor,Poor,Poor,Poor,Poor
14th St,Asphalt,No,Poor,Poor,Poor,Poor,Poor,Poor
14th St,Asphalt,No,Poor,Poor,Poor,Poor,Poor,Poor
14th St,Asphalt,No,Poor,Poor,Poor,Poor,Fair,Fair
14th St,Concrete,No,Poor,Poor,Poor,Poor,Poor,Poor
14th St,Concrete,No,Poor,Poor,Fair,Fair,Fair,Fair
14th St,Concrete,No,Fair,Fair,Fair,Fair,Fair,Fair
14th St,Asphalt,Yes,Poor,Poor,Poor,Poor,Poor,Poor
14th St,Asphalt,Yes,Poor,Poor,Poor,Poor,Poor,Poor
14th St,Asphalt,Yes,Poor,Poor,Poor,Poor,Poor,Poor
14th St,Asphalt,Yes,Poor,Poor,Poor,Poor,Poor,Poor
14th St,Asphalt,Yes,Poor,Poor,Poor,Poor,Poor,Poor
14th St,Asphalt,Yes,Poor,Poor,Poor,Poor,Poor,Poor
14th St,Asphalt,Yes,Poor,Poor,Poor,Poor,Poor,Poor
14th St,Asphalt,Yes,Poor,Poor,Poor,Poor,Poor,Poor
14th St,Asphalt,Yes,Poor,Poor,Poor,Poor,Poor,Poor
14th St,Asphalt,Yes,Poor,Poor,Poor,Poor,Poor,Poor
14th St,Asphalt,Yes,Poor,Poor,Poor,Poor,Poor,Poor
14th St,Asphalt,Yes,Poor,Poor,Poor,Poor,Poor,Poor
14th St,Asphalt,Yes,Poor,Poor,Poor,Poor,Poor,Poor
14th St,Asphalt,Yes,Poor,Poor,Poor,Poor,Poor,Poor
14th St,Asphalt,Yes,Poor,Poor,Poor,Poor,Poor,Poor
14th St,Asphalt,Yes,Poor,Poor,Poor,Poor,Poor,Poor
14th St,Asphalt,Yes,Poor,Poor,Poor,Poor,Poor,Poor
14th St,Asphalt,Yes,Poor,Poor,Poor,Poor,Poor,Poor
14th St,Asphalt,Yes,Poor,Poor,Poor,Poor,Poor,Poor
14th St,Asphalt,Yes,Poor,Poor,Poor,Poor,Poor,Poor
14th St,Asphalt,Yes,Poor,Poor,Poor,Poor,Poor,Poor
14th St,Asphalt,Yes,Poor,Poor,Poor,Poor,Poor,Poor
14th St,Asphalt,Yes,Poor,Poor,Poor,Poor,Good,Good
14th St,Asphalt,Yes,Poor,Poor,Poor,Poor,Poor,Poor
14th St,Asphalt,Yes,Fair,Poor,Poor,Poor,Poor,Poor
14th St,Asphalt,Yes,Fair,Fair,Fair,Fair,Fair,Fair
14th St,Asphalt,Yes,Poor,Poor,Poor,Poor,Poor,Poor
14th St,Asphalt,Yes,Poor,Poor,Poor,Poor,Poor,Poor
14th St,Asphalt,Yes,Poor,Poor,Poor,Poor,Poor,Poor
14th St,Asphalt,Yes,Poor,Poor,Poor,Poor,Poor,Poor
14th St,Asphalt,Yes,Poor,Poor,Poor,Poor,Poor,Poor
14th St,Asphalt,Yes,Poor,Poor,Poor,Poor,Fair,Fair
14th St,Asphalt,Yes,Fair,Fair,Fair,Fair,Fair,Fair
14th St,Asphalt,Yes,Fair,Poor,Poor,Poor,Fair,Fair
14th St,Asphalt,Yes,Fair,Poor,Poor,Poor,Fair,Fair
14th St,Asphalt,Yes,Fair,Poor,Poor,Poor,Fair,Fair
14th St,Asphalt,Yes,Fair,Poor,Poor,Poor,Fair,Fair
14th St,Asphalt,Yes,Fair,Poor,Poor,Poor,Good,Good
14th St,Asphalt,Yes,Fair,Poor,Poor,Poor,Fair,Fair
14th St,Asphalt,Yes,Fair,Poor,Poor,Poor,Fair,Fair
14th St,Asphalt,Yes,Fair,Poor,Poor,Poor,Fair,Fair
14th St,Asphalt,Yes,Fair,Poor,Poor,Poor,Fair,Fair
14th St,Asphalt,Yes,Poor,Poor,Poor,Poor,Poor,Poor
14th St,Asphalt,Yes,Poor,Poor,Poor,Poor,Poor,Poor
14th St,Asphalt,Yes,Fair,Poor,Poor,Poor,Poor,Poor
14th St,Asphalt,Yes,Poor,Poor,Poor,Poor,Poor,Poor
14th St,Asphalt,Yes,Poor,Poor,Poor,Poor,Poor,Poor
14th St,Asphalt,Yes,Poor,Poor,Poor,Poor,Poor,Poor
14th St,Asphalt,Yes,Poor,Poor,Poor,Poor,Poor,Poor
14th St,Asphalt,Yes,Poor,Poor,Poor,Good,Good,Good
14th St,Asphalt,Yes,Poor,Poor,Poor,Good,Good,Good
14th St,Asphalt,Yes,Poor,Poor,Poor,Good,Good,Good
14th St,Concrete,Yes,Fair,Good,Good,Good,Good,Good
14th St,Concrete,Yes,Fair,Fair,Fair,Good,Good,Good
14th St,Concrete,Yes,Fair,Good,Good,Good,Good,Good
14th St,Concrete,Yes,Fair,Good,Good,Good,Good,Good
14th St,Concrete,Yes,Fair,Good,Good,Good,Good,Good
14th St,Concrete,Yes,Fair,Good,Good,Good,Good,Good
14th St,Concrete,Yes,Fair,Good,Good,Good,Good,Good
14th St,Asphalt,Yes,Poor,Poor,Poor,Poor,Poor,Poor
14th St,Asphalt,Yes,Poor,Poor,Poor,Poor,Poor,Poor
14th St,Asphalt,Yes,Poor,Poor,Poor,Poor,Poor,Poor
14th St,Asphalt,Yes,Poor,Poor,Poor,Poor,Poor,Poor
14th St,Asphalt,Yes,Poor,Poor,Poor,Poor,Poor,Good
14th St,Concrete,Yes,Poor,Poor,Poor,Poor,Poor,Poor
14th St,Asphalt,Yes,Poor,Poor,Poor,Poor,Poor,Poor
14th St,Asphalt,Yes,Poor,Poor,Poor,Poor,Poor,Poor
14th St,Asphalt,Yes,Poor,Poor,Poor,Poor,Poor,Poor
14th St,Asphalt,Yes,Poor,Poor,Poor,Poor,Poor,Poor
14th St,Asphalt,Yes,Poor,Good,Poor,Poor,Poor,Poor
14th St,Asphalt,Yes,Poor,Poor,Poor,Poor,Poor,Poor
14th St,Asphalt,Yes,Poor,Poor,Poor,Poor,Poor,Poor
14th St,Asphalt,Yes,Poor,Poor,Poor,Poor,Poor,Poor
14th St,Asphalt,Yes,Poor,Poor,Poor,Poor,Poor,Poor
14th St,Asphalt,Yes,Poor,Poor,Poor,Poor,Poor,Poor
14th St,Concrete,Yes,Fair,Fair,Fair,Fair,Fair,Fair
14th St,Concrete,Yes,Fair,Poor,Fair,Fair,Fair,Fair
14th St,Concrete,Yes,Fair,Fair,Fair,Fair,Fair,Fair
14th St,Asphalt,Yes,Poor,Poor,Poor,Poor,Poor,Poor
14th St,Asphalt,Yes,Fair,Poor,Poor,Poor,Poor,Poor
14th St,Asphalt,Yes,Fair,Poor,Poor,Poor,Fair,Fair
14th/E I 94 RAMP (214C),Asphalt,Yes,Fair,Fair,Fair,Fair,Fair,Fair
15th St,Asphalt,No,Poor,Poor,Poor,Poor,Poor,Poor
15th St,Asphalt,No,Poor,Poor,Poor,Poor,Poor,Poor
15th St,Asphalt,No,Poor,Poor,Poor,Poor,Poor,Poor
15th St,Asphalt,No,Poor,Poor,Poor,Poor,Poor,Poor
15th St,Asphalt,No,Poor,Poor,Poor,Poor,Poor,Poor
15th St,Asphalt,No,Poor,Poor,Poor,Poor,Fair,Fair
15th St,Asphalt,No,Poor,Poor,Poor,Poor,Fair,Fair
15th St,Asphalt,No,Poor,Poor,Poor,Poor,Fair,Fair
15th St,Concrete,No,Poor,Poor,Poor,Poor,Fair,Fair
15th St,Asphalt,No,Poor,Poor,Poor,Poor,Poor,Poor
15th St,Asphalt,No,Fair,Fair,Poor,Poor,Poor,Poor
15th St,Asphalt,No,Fair,Fair,Fair,Fair,Fair,Fair
15th St,Asphalt,No,Poor,Poor,Good,Good,Good,Good
15th St,Asphalt,No,Fair,Fair,Good,Good,Good,Good
16th St,Asphalt,No,Fair,Fair,Fair,Fair,Poor,Poor
16th St,Asphalt,No,Fair,Fair,Fair,Fair,Fair,Fair
16th St,Asphalt,No,Poor,Poor,Poor,Poor,Fair,Fair
16th St,Asphalt,No,Poor,Poor,Poor,Poor,Poor,Poor
16th St,Asphalt,No,Poor,Poor,Poor,Poor,Poor,Poor
16th St,Asphalt,No,Poor,Poor,Poor,Poor,Poor,Poor
16th St,Asphalt,No,Poor,Poor,Poor,Poor,Poor,Poor
16th St,Asphalt,No,Poor,Poor,Poor,Poor,Fair,Fair
16th St,Asphalt,No,Poor,Poor,Poor,Poor,Fair,Fair
16th St,Concrete,No,Poor,Poor,Poor,Poor,Fair,Fair
16th St,Asphalt,No,Fair,Fair,Good,Good,Good,Good
16th St,Concrete,No,Poor,Poor,Poor,Poor,Poor,Poor
16th St,Concrete,No,Poor,Poor,Poor,Poor,Poor,Poor
16th St,Concrete,No,Poor,Poor,Poor,Poor,Poor,Poor
16th St,Concrete,No,Fair,Fair,Fair,Fair,Fair,Fair
17th St,Asphalt,No,Poor,Poor,Poor,Poor,Poor,Poor
17th St,Asphalt,No,Poor,Poor,Poor,Poor,Fair,Fair
17th St,Asphalt,No,Poor,Poor,Poor,Poor,Good,Good
17th St,Asphalt,No,Poor,Poor,Poor,Poor,Poor,Poor
17th St,Asphalt,No,Poor,Poor,Poor,Poor,Poor,Poor
17th St,Asphalt,No,Poor,Poor,Poor,Poor,Poor,Poor
17th St,Asphalt,No,Poor,Poor,Poor,Poor,Fair,Fair
17th St,Asphalt,No,Poor,Poor,Poor,Poor,Fair,Fair
17th St,Asphalt,No,Poor,Poor,Poor,Poor,Good,Good
17th St,Brick,No,Poor,Poor,Poor,Poor,Poor,Poor
17th St,Asphalt,No,Fair,Fair,Poor,Poor,Poor,Poor
17th St,Asphalt,No,Fair,Fair,Good,Good,Good,Good
17th St,Concrete,No,Poor,Poor,Fair,Fair,Fair,Fair
18th St,Asphalt,No,Poor,Poor,Poor,Poor,Poor,Poor
18th St,Asphalt,No,Poor,Poor,Poor,Poor,Poor,Poor
18th St,Asphalt,No,Poor,Poor,Poor,Poor,Poor,Poor
18th St,Asphalt,No,Poor,Poor,Poor,Poor,Poor,Poor
18th St,Asphalt,No,Poor,Poor,Poor,Poor,Poor,Poor
18th St,Asphalt,No,Poor,Poor,Poor,Poor,Fair,Fair
18th St,Asphalt,No,Poor,Poor,Poor,Poor,Fair,Fair
18th St,Asphalt,No,Fair,Fair,Good,Good,Good,Good
18th St,Concrete,No,Poor,Poor,Poor,Poor,Poor,Poor
18th St,Concrete,No,Fair,Fair,Fair,Fair,Fair,Fair
18th St,Concrete,No,Fair,Fair,Fair,Fair,Fair,Fair
19th St,Asphalt,No,Fair,Fair,Fair,Fair,Fair,Fair
19th St,Asphalt,No,Good,Good,Fair,Fair,Fair,Fair
19th St,Asphalt,No,Fair,Fair,Good,Good,Good,Good
19th St,Asphalt,No,Poor,Poor,Poor,Poor,Poor,Poor
1st Ave,Asphalt,No,Poor,Poor,Poor,Poor,Poor,Poor
1st St,Asphalt,No,Fair,Fair,Fair,Fair,Fair,Fair
1st St,Asphalt,No,Poor,Fair,Fair,Fair,Fair,Fair
1st St,Asphalt,No,Poor,Poor,Poor,Poor,Poor,Fair
1st St,Gravel,No,Poor,Poor,Poor,Poor,Poor,Poor
1st St,Asphalt,No,Fair,Fair,Fair,Fair,Poor,Poor
1st St,Asphalt,No,Poor,Poor,Poor,Poor,Poor,Poor
1st St,Concrete,No,Poor,Poor,Poor,Poor,Poor,Fair
1st St,Asphalt,No,Fair,Fair,Poor,Poor,Poor,Poor
1st St,Asphalt,No,Fair,Fair,Fair,Fair,Fair,Fair
1st St,Asphalt,Yes,Poor,Poor,Poor,Poor,Poor,Poor
1st St,Asphalt,Yes,Poor,Poor,Poor,Poor,Poor,Poor
1st St,Asphalt,Yes,Poor,Poor,Poor,Poor,Poor,Poor
1st St,Asphalt,Yes,Poor,Poor,Poor,Poor,Poor,Poor
1st St,Asphalt,Yes,Poor,Poor,Poor,Poor,Poor,Poor
1st St,Asphalt,Yes,Poor,Poor,Poor,Poor,Poor,Poor
20th St,Asphalt,No,Poor,Poor,Poor,Poor,Poor,Poor
20th St,Asphalt,No,Poor,Poor,Poor,Poor,Fair,Fair
20th St,Asphalt,No,Poor,Poor,Poor,Poor,Fair,Fair
20th St,Asphalt,No,Poor,Poor,Poor,Poor,Good,Good
20th St,Asphalt,Yes,Fair,Poor,Poor,Poor,Poor,Poor
20th St,Asphalt,Yes,Poor,Poor,Poor,Poor,Poor,Poor
20th St,Asphalt,Yes,Poor,Poor,Poor,Poor,Poor,Poor
20th St,Asphalt,Yes,Poor,Poor,Poor,Poor,Poor,Poor
20th St,Asphalt,Yes,Poor,Poor,Fair,Fair,Poor,Poor
20th St,Asphalt,Yes,Fair,Poor,Fair,Fair,Poor,Poor
20th St,Asphalt,Yes,Fair,Poor,Poor,Poor,Poor,Poor
20th St,Asphalt,Yes,Fair,Poor,Poor,Poor,Poor,Poor
21st St,Asphalt,No,Poor,Poor,Poor,Poor,Fair,Fair
21st St,Brick,No,Poor,Poor,Poor,Poor,Poor,Poor
21st St,Gravel,No,Poor,Poor,Poor,Poor,Fair,Fair
21st St,Asphalt,Yes,Fair,Poor,Poor,Poor,Poor,Poor
21st/N I 75,Concrete,Yes,Good,Good,Good,Good,Fair,Fair
21st/N I 75,Concrete,Yes,Good,Good,Good,Good,Good,Good
22nd St,Asphalt,No,Fair,Fair,Fair,Fair,Good,Good
22nd St,Asphalt,No,Poor,Poor,Poor,Poor,Fair,Fair
22nd St,Concrete,Yes,Good,Fair,Fair,Fair,Good,Good
22nd St,Concrete,Yes,Fair,Good,Fair,Fair,Good,Good
23rd St,Asphalt,No,Fair,Fair,Fair,Fair,Poor,Poor
23rd St,Asphalt,No,Fair,Fair,Fair,Fair,Poor,Poor
23rd St,Asphalt,No,Fair,Fair,Fair,Fair,Fair,Fair
23rd St,Asphalt,No,Poor,Poor,Poor,Poor,Poor,Poor
23rd St,Asphalt,No,Poor,Poor,Poor,Poor,Poor,Poor
23rd St,Asphalt,No,Poor,Poor,Poor,Poor,Poor,Poor
23rd St,Asphalt,No,Poor,Poor,Poor,Poor,Poor,Poor
23rd St,Asphalt,No,Poor,Poor,Poor,Poor,Fair,Fair
23rd St,Asphalt,No,Poor,Poor,Poor,Poor,Fair,Fair
24th St,Asphalt,No,Fair,Fair,Fair,Fair,Fair,Fair
24th St,Asphalt,No,Fair,Fair,Fair,Fair,Poor,Poor
24th St,Asphalt,No,Fair,Fair,Fair,Fair,Fair,Fair
24th St,Asphalt,No,Fair,Fair,Fair,Fair,Poor,Poor
24th St,Asphalt,No,Fair,Fair,Fair,Fair,Poor,Poor
24th St,Asphalt,No,Poor,Poor,Poor,Poor,Poor,Poor
24th St,Asphalt,No,Poor,Poor,Poor,Poor,Fair,Fair
24th St,Concrete,No,Poor,Poor,Poor,Poor,Fair,Fair
24th St,Asphalt,Yes,Poor,Poor,Poor,Poor,Poor,Poor
24th St,Asphalt,Yes,Poor,Poor,Poor,Poor,Poor,Poor
24th St,Concrete,Yes,Fair,Poor,Fair,Fair,Fair,Fair
24th St,Asphalt,Yes,Poor,Poor,Poor,Poor,Poor,Poor
24th St,Asphalt,Yes,Poor,Poor,Poor,Poor,Poor,Poor
24th St,Asphalt,Yes,Poor,Poor,Poor,Poor,Poor,Poor
24th St,Asphalt,Yes,Poor,Poor,Poor,Poor,Poor,Poor
24th St,Asphalt,Yes,Poor,Poor,Poor,Poor,Poor,Poor
24th St,Asphalt,Yes,Poor,Poor,Poor,Poor,Poor,Poor
24th St,Asphalt,Yes,Poor,Poor,Poor,Poor,Poor,Poor
24th St,Asphalt,Yes,Poor,Poor,Poor,Poor,Poor,Poor
24th St,Asphalt,Yes,Poor,Poor,Poor,Poor,Poor,Poor
24th St,Asphalt,Yes,Good,Fair,Good,Good,Good,Good
24th St,Concrete,Yes,Good,Fair,Good,Good,Good,Good
24th St,Concrete,Yes,Good,Fair,Good,Good,Good,Good
24th St,Concrete,Yes,Good,Fair,Good,Good,Good,Good
24th St,Asphalt,Yes,Poor,Poor,Poor,Poor,Fair,Fair
24th St,Asphalt,Yes,Poor,Poor,Poor,Poor,Fair,Fair
25th St,Asphalt,No,Poor,Poor,Poor,Poor,Poor,Poor
25th St,Asphalt,No,Poor,Poor,Poor,Poor,Poor,Poor
25th St,Asphalt,No,Poor,Poor,Poor,Poor,Fair,Fair
25th St,Asphalt,No,Poor,Poor,Poor,Poor,Fair,Fair
25th St,Asphalt,No,Poor,Poor,Poor,Poor,Fair,Fair
28th St,Asphalt,No,Poor,Poor,Poor,Poor,Fair,Fair
28th St,Asphalt,No,Poor,Poor,Poor,Poor,Poor,Poor
28th St,Asphalt,No,Poor,Poor,Poor,Poor,Poor,Poor
28th St,Asphalt,No,Poor,Poor,Poor,Poor,Poor,Poor
28th St,Asphalt,No,Poor,Poor,Poor,Poor,Fair,Fair
29th St,Asphalt,No,Poor,Poor,Poor,Poor,Poor,Poor
29th St,Asphalt,No,Poor,Poor,Poor,Poor,Poor,Poor
29th St,Asphalt,No,Poor,Poor,Poor,Poor,Fair,Fair
2nd Ave,Asphalt,No,Poor,Poor,Poor,Poor,Poor,Poor
2nd Ave,Asphalt,No,Poor,Poor,Poor,Poor,Poor,Poor
2nd Ave,Asphalt,No,Poor,Poor,Poor,Poor,Poor,Poor
2nd Ave,Asphalt,No,Fair,Poor,Poor,Poor,Poor,Poor
2nd Ave,Asphalt,No,Poor,Poor,Poor,Poor,Poor,Poor
2nd Ave,Concrete,Yes,Poor,Poor,Poor,Poor,Poor,Good
2nd Ave,Concrete,Yes,Good,Good,Good,Good,Good,Good
2nd Ave,Concrete,Yes,Good,Good,Good,Good,Good,Good
2nd Ave,Concrete,Yes,Poor,Good,Good,Good,Good,Good
2nd Ave,Concrete,Yes,Poor,Good,Good,Good,Good,Good
2nd Ave,Asphalt,Yes,Poor,Good,Good,Good,Good,Fair
2nd Ave,Asphalt,Yes,Poor,Poor,Poor,Poor,Poor,Fair
2nd Ave,Asphalt,Yes,Poor,Good,Good,Good,Good,Fair
2nd Ave,Asphalt,Yes,Poor,Good,Good,Good,Good,Fair
2nd Ave,Asphalt,Yes,Poor,Good,Good,Good,Good,Fair
2nd Ave,Asphalt,Yes,Poor,Good,Good,Good,Good,Fair
2nd Ave,Asphalt,Yes,Fair,Good,Good,Good,Good,Fair
2nd Ave,Asphalt,Yes,Poor,Good,Good,Good,Good,Fair
2nd Ave,Asphalt,Yes,Poor,Good,Good,Good,Good,Fair
2nd Ave,Asphalt,Yes,Poor,Good,Good,Good,Good,Fair
2nd Ave,Asphalt,Yes,Poor,Good,Good,Fair,Fair,Fair
2nd Ave,Asphalt,Yes,Poor,Good,Good,Fair,Fair,Fair
2nd Ave,Asphalt,Yes,Poor,Good,Good,Fair,Fair,Fair
2nd Ave,Asphalt,Yes,Poor,Fair,Fair,Fair,Fair,Fair
2nd Ave,Concrete,Yes,Fair,Good,Fair,Fair,Good,Good
2nd Ave,Concrete,Yes,Fair,Good,Fair,Fair,Good,Good
2nd Ave,Concrete,Yes,Fair,Good,Fair,Fair,Good,Good
2nd Ave,Concrete,Yes,Fair,Good,Fair,Fair,Good,Good
2nd Ave,Concrete,Yes,Fair,Good,Fair,Fair,Good,Good
2nd Ave,Concrete,Yes,Fair,Good,Fair,Fair,Good,Good
2nd Ave,Asphalt,Yes,Poor,Poor,Poor,Poor,Poor,Poor
2nd Ave,Asphalt,Yes,Poor,Poor,Poor,Poor,Poor,Poor
2nd Ave,Asphalt,Yes,Poor,Poor,Poor,Poor,Poor,Poor
2nd Ave,Asphalt,Yes,Poor,Poor,Poor,Poor,Poor,Poor
2nd Ave,Asphalt,Yes,Poor,Poor,Poor,Poor,Poor,Poor
2nd Ave,Asphalt,Yes,Poor,Fair,Fair,Poor,Poor,Poor
2nd Ave,Asphalt,Yes,Fair,Fair,Fair,Good,Good,Fair
2nd Ave,Asphalt,Yes,Good,Fair,Fair,Good,Good,Fair
2nd Ave,Asphalt,Yes,Good,Fair,Fair,Fair,Fair,Fair
2nd Ave,Asphalt,Yes,Fair,Fair,Fair,Good,Good,Fair
2nd Ave,Asphalt,Yes,Good,Fair,Fair,Good,Good,Fair
2nd Ave,Asphalt,Yes,Good,Fair,Fair,Good,Good,Fair
2nd Ave,Asphalt,Yes,Good,Fair,Fair,Good,Good,Fair
2nd Ave,Asphalt,Yes,Poor,Good,Good,Fair,Fair,Fair
2nd Ave,Asphalt,Yes,Poor,Fair,Fair,Fair,Fair,Fair
2nd Ave,Asphalt,Yes,Poor,Poor,Poor,Poor,Poor,Poor
2nd Ave,Asphalt,Yes,Poor,Good,Good,Good,Good,Fair
2nd Ave,Asphalt,Yes,Poor,Good,Good,Good,Good,Fair
2nd Ave,Asphalt,Yes,Poor,Good,Good,Good,Good,Fair
2nd Ave,Asphalt,Yes,Poor,Good,Good,Good,Good,Fair
2nd Ave,Asphalt,Yes,Fair,Good,Good,Good,Good,Fair
2nd Ave,Asphalt,Yes,Good,Fair,Fair,Fair,Good,Good
2nd Ave,Asphalt,Yes,Poor,Poor,Poor,Poor,Poor,Poor
2nd Ave,Asphalt,Yes,Good,Fair,Poor,Good,Good,Fair
2nd Ave,Asphalt,Yes,Poor,Poor,Poor,Poor,Poor,Poor
2nd Ave,Asphalt,Yes,Poor,Poor,Poor,Poor,Poor,Poor
2nd Ave,Asphalt,Yes,Poor,Poor,Poor,Poor,Poor,Poor
2nd Ave,Asphalt,Yes,Poor,Poor,Poor,Poor,Poor,Poor
2nd Ave,Asphalt,Yes,Poor,Poor,Poor,Poor,Poor,Poor
2nd Ave,Asphalt,Yes,Poor,Poor,Poor,Poor,Fair,Fair
2nd Ave,Asphalt,Yes,Poor,Poor,Poor,Poor,Fair,Fair
2nd Ave,Asphalt,Yes,Poor,Poor,Poor,Poor,Poor,Poor
2nd Ave,Asphalt,Yes,Poor,Poor,Poor,Poor,Poor,Poor
2nd Ave,Asphalt,Yes,Poor,Poor,Poor,Poor,Poor,Poor
2nd Ave,Asphalt,Yes,Poor,Poor,Poor,Poor,Poor,Poor
2nd Ave,Asphalt,Yes,Poor,Poor,Poor,Poor,Fair,Fair
2nd Ave,Asphalt,Yes,Poor,Poor,Poor,Poor,Fair,Fair
2nd Ave,Asphalt,Yes,Poor,Poor,Poor,Poor,Fair,Fair
2nd Blvd,Asphalt,No,Fair,Fair,Fair,Fair,Poor,Poor
2nd Blvd,Asphalt,No,Poor,Poor,Poor,Poor,Poor,Poor
2nd Blvd,Asphalt,No,Fair,Fair,Poor,Poor,Poor,Poor
2nd Blvd,Asphalt,Yes,Poor,Poor,Fair,Fair,Fair,Fair
2nd Blvd,Asphalt,Yes,Poor,Poor,Fair,Fair,Fair,Fair
2nd Blvd,Asphalt,Yes,Poor,Poor,Fair,Fair,Fair,Fair
2nd Blvd,Asphalt,Yes,Fair,Fair,Fair,Fair,Good,Good
2nd Blvd,Asphalt,Yes,Poor,Poor,Poor,Poor,Good,Good
2nd Blvd,Asphalt,Yes,Fair,Fair,Fair,Fair,Good,Good
2nd Blvd,Asphalt,Yes,Poor,Poor,Poor,Poor,Poor,Poor
