route_location_id,route_id,beginning_milepoint,ending_milepoint,location_id,facility_type,program,num_aadt,num_caadt,num_single_unit_caadt,num_combined_unit_caadt,street_name,from_description,to_description,num_lanes,nfc_name,posted_speed,ObjectId,Shape__Length
1591106-82-6505-0.1301077-0.2061873,1591106,0.1301077,0.2061873,82-6505,1 - One-Way Roadway,Non-Trunkline,43,0,0,0,Elmhurst St,Woodrow Wilson St,S M 10,2,Major collector,25,838,165.686780534751
4705601-82-5911-0.4688376-1.7103505,4705601,0.4688376,1.710351,82-5911,1 - One-Way Roadway,Non-Trunkline,1119,29,20,9,14th St,Michigan Ave,Warren Ave,3,Minor arterial,30,839,2708.25388808983
1591107-82-2375-0-0.1914949,1591107,0,0.1914949,82-2375,1 - One-Way Roadway,Non-Trunkline,1476,40,27,13,Hamilton,S M 10/Chicago RAMP,S M 10,2,Major collector,55,840,417.036946568062
1591107-82-2376-0.1914949-0.3072413,1591107,0.1914949,0.3072413,82-2376,1 - One-Way Roadway,Non-Trunkline,2720,76,54,22,Hamilton,S M 10,S M 10,2,Major collector,55,841,252.447717799732
4705605-82-0114-0.0615238-0.925236,4705605,0.0615238,0.925236,82-0114,2 - Two-Way Roadway,Non-Trunkline,10993,297,209,88,Rosa Parks Blvd,Hazel St,Selden St,2,Other principal arterial,30,842,1883.70695135461
1591107-82-2377-1.3696201-1.6578803,1591107,1.36962,1.65788,82-2377,2 - Two-Way Roadway,Non-Trunkline,1262,36,24,12,M 10 Service Drive,Elijah McCoy Dr,Milwaukee St,2,Major collector,55,843,628.960375147401
4705605-82-5917-0.925236-1.7430182,4705605,0.925236,1.743018,82-5917,1 - One-Way Roadway,Non-Trunkline,1750,47,33,14,Rosa Parks Blvd,Hazel St,Selden St,2,Other principal arterial,30,844,1783.87696334869
4705605-82-6209-0-0.0615238,4705605,0,0.0615238,82-6209,2 - Two-Way Roadway,Non-Trunkline,4295,120,86,34,Jefferson Ave W,Rosa Parks Blvd,Jefferson Ave,5,Other principal arterial,30,845,134.056603938678
1591107-82-6164-0.3072413-1.3696201,1591107,0.3072413,1.36962,82-6164,1 - One-Way Roadway,Non-Trunkline,1571,47,30,17,Hamilton,Milwaukee St,S M 10,2,Major collector,55,846,2318.20871750698
4705610-82-6000-0-0.1081054,4705610,0,0.1081054,82-6000,2 - Two-Way Roadway,Non-Trunkline,3450,95,68,27,Grand Blvd E,Russell St,Grand/Hamtramck Cutoff,3,Minor arterial,35,847,235.397887259695
4705610-82-6017-0.1081054-0.9800894,4705610,0.1081054,0.9800894,82-6017,2 - Two-Way Roadway,Non-Trunkline,4159,115,82,33,E Grand Blvd,Grand Blvd,Frontenac St,3,Minor arterial,25,848,1898.66539493365
1591108-82-0641-0.0885666-0.2989124,1591108,0.0885666,0.2989124,82-0641,4 - Ramp,Ramp,9969,,,,M 10/I 75 Ramp,S M 10,S M 10/N I 75 RAMP,1,Interstate,40,849,458.111742511598
4705617-82-1587-0.113783-2.129211,4705617,0.113783,2.129211,82-1587,2 - Two-Way Roadway,Non-Trunkline,925,27,17,10,Woodrow Wilson St,Euclid St,Davison St,2,Major collector,25,850,4398.35841628157
4705623-82-6155-0-0.1970382,4705623,0,0.1970382,82-6155,2 - Two-Way Roadway,Non-Trunkline,268,7,5,2,20th St,20th St,Michigan Ave,2,Major collector,25,851,429.745078738273
1591108-82-0643-0-0.0885666,1591108,0,0.0885666,82-0643,4 - Ramp,Ramp,16335,,,,M 10/I 75 Ramp,S M 10,S M 10/N I 75 RAMP,1,Interstate,40,852,193.27753912728
4705626-82-6188-0-0.4926282,4705626,0,0.4926282,82-6188,2 - Two-Way Roadway,Non-Trunkline,1359,38,27,11,Atwater Dr,Civic Center Dr,JURISDICTIONAL BOUNDARY,2,Minor arterial,25,853,1071.86817423685
1591109-82-0619-0.2296634-0.2967984,1591109,0.2296634,0.2967984,82-0619,4 - Ramp,Ramp,6503,,,,M 10/I 75 Ramp,N M 10/S I 75 CD RAMP,S M 10/N I 75 RAMP,2,Interstate,40,854,146.145792174611
1591109-82-0648-0-0.0812236,1591109,0,0.0812236,82-0648,4 - Ramp,Ramp,9698,,,,M 10/I 75 Ramp,N M 10/S I 75 CD RAMP,S M 10/N I 75 RAMP,1,Interstate,40,855,177.192407202566
1591109-82-0670-0.0812236-0.2296634,1591109,0.0812236,0.2296634,82-0670,4 - Ramp,Ramp,2338,,,,M 10/I 75 Ramp,N M 10/S I 75 CD RAMP,S M 10/N I 75 RAMP,1,Interstate,40,856,323.707001775625
4705628-82-6254-0-0.123424,4705628,0,0.123424,82-6254,2 - Two-Way Roadway,Non-Trunkline,55,0,0,0,M 10 Service Drive,Michigan Ave,Elizabeth St,2,Major collector,55,857,269.026267693827
1591110-82-0621-0-0.1920889,1591110,0,0.1920889,82-0621,4 - Ramp,Ramp,7946,,,,I 75/Grand River Ramp,Bridge 11773,N I 75 Service Drive & John C Lodge Service Rd,1,Interstate,40,858,417.740820959803
1591204-82-2378-1.2410296-1.2876874,1591204,1.24103,1.287687,82-2378,2 - Two-Way Roadway,Non-Trunkline,2996,87,57,30,Baltimore St W,Baltimore St,N M 10/Milwaukee RAMP,4,Major collector,25,859,101.796901062078
