OBJECTID,FENAME,FETYPE,NFC,LegalSystem,Nhs,FedAid,COUNTYL,COUNTYR,SEMMCDL,SEMMCDR,COMMUNITYL,COUNTYNAMEL,COMMUNITYR,COUNTYNAMER,VER,lenmi,Shape__Length
53803,Salem,Ct,0,0,0,No,163,163,1200,1200,Van Buren Twp,Wayne,Van Buren Twp,Wayne,22,0.08639,456.3037236
53810,Salem,Ln,7,3,0,No,163,163,1150,1150,Redford Twp,Wayne,Redford Twp,Wayne,22,0.11367,600.3496558
53811,Salem,St,7,3,0,No,163,163,1150,1150,Redford Twp,Wayne,Redford Twp,Wayne,22,1.37135,7242.600511
53816,Salem,St,7,5,0,No,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,1.8553,9798.498987
53817,Salem,Ln,7,5,0,No,163,163,1030,1030,Dearborn Heights,Wayne,Dearborn Heights,Wayne,22,0.35973,1899.87484
53818,Salem,Ave,7,5,0,No,163,163,1190,1190,Trenton,Wayne,Trenton,Wayne,22,0.25735,1359.247717
53819,Salem,Dr,7,5,0,No,163,163,1215,1215,Woodhaven,Wayne,Woodhaven,Wayne,22,0.1024,540.8650573
53832,Salina,Ave,7,4,0,No,163,163,1025,1025,Dearborn,Wayne,Dearborn,Wayne,22,0.66016,3486.546568
53833,Salina,Ave,7,5,0,No,163,163,1025,1025,Dearborn,Wayne,Dearborn,Wayne,22,0.50309,2657.036034
53848,Salisbury,Rd,7,3,0,No,163,163,1060,1060,Grosse Ile Twp,Wayne,Grosse Ile Twp,Wayne,22,0.11946,630.9217262
