OBJECTID,FENAME,FETYPE,NFC,LegalSystem,Nhs,FedAid,COUNTYL,COUNTYR,SEMMCDL,SEMMCDR,COMMUNITYL,COUNTYNAMEL,COMMUNITYR,COUNTYNAMER,VER,lenmi,Shape__Length
53310,S M 10 Service Drive,,5,4,0,Yes,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,2.17629,11493.58899
53311,S M 10 Service Drive,,5,5,0,Yes,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,0.02673,141.1825552
53312,S M 10 Service Drive,,7,0,0,No,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,0.02512,132.6871463
53313,S M 10 Service Drive,,7,5,0,No,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,1.21673,6425.725942
53315,S M 10/7 Mile,Ramp,2,1,1,Yes,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,0.19334,1021.080542
53317,S M 10/Bagley,Ramp,2,1,1,Yes,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,0.36388,1921.724957
53318,S M 10/Chicago,Ramp,2,1,1,Yes,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,0.1276,673.8631385
53319,S M 10/Chicago,Ramp,5,1,1,Yes,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,0.01594,84.18077198
53321,S M 10/E I 94,Ramp,1,1,1,Yes,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,0.30868,1630.221483
53322,S M 10/E M 8,Ramp,2,1,1,Yes,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,0.22715,1199.620481
53323,S M 10/E M 8,Ramp,2,1,1,Yes,163,163,1100,1100,Highland Park,Wayne,Highland Park,Wayne,22,0.13903,734.2392168
53324,S M 10/Forest,Ramp,2,1,1,Yes,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,0.10961,578.8556567
53325,S M 10/Grand,Ramp,2,1,1,Yes,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,0.15441,815.4587734
53326,S M 10/Grand River,Ramp,2,1,1,Yes,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,0.21832,1153.026482
53327,S M 10/Howard,Ramp,2,1,1,Yes,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,0.13171,695.6071876
53328,S M 10/Jefferson,Ramp,2,1,1,Yes,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,0.3074,1623.441995
53329,S M 10/Joe Louis Parking,Ramp,2,1,1,Yes,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,0.02608,137.7377424
53331,S M 10/Larned,Ramp,2,1,1,Yes,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,0.15574,822.5291549
53332,S M 10/Linwood,Ramp,2,1,1,Yes,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,0.18186,960.448102
53333,S M 10/Livernois,Ramp,2,1,1,Yes,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,0.18081,954.8801292
53335,S M 10/N I 75,Ramp,1,1,1,Yes,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,0.36993,1953.684745
53337,S M 10/Pallister,Ramp,2,1,1,Yes,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,0.13016,687.401809
53338,S M 10/S I 75,Ramp,1,1,1,Yes,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,0.29891,1578.634257
53343,S M 10/Trumbull,Ramp,1,1,1,Yes,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,0.09273,489.7236947
53344,S M 10/W I 94,Ramp,1,1,1,Yes,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,0.3242,1712.155378
53346,S M 10/Woodrow Wilson,Ramp,2,1,1,Yes,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,0.10962,578.9167468
53347,S M 10/Wyoming,Ramp,2,1,1,Yes,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,0.09959,525.9825892
53353,S M 39,,2,1,1,Yes,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,0.01219,64.35806547
53355,S M 39 Service Drive,,5,1,1,Yes,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,0.29431,1554.369445
53356,S M 39 Service Drive,,5,1,1,Yes,163,163,1025,1025,Dearborn,Wayne,Dearborn,Wayne,22,0.83501,4410.060823
53357,S M 39 Service Drive,,5,4,0,Yes,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,1.90885,10081.33932
53358,S M 39 Service Drive,,5,4,0,Yes,163,163,1025,1025,Dearborn,Wayne,Dearborn,Wayne,22,3.06836,16205.37263
53359,S M 39 Service Drive,Ramp,5,4,0,Yes,163,163,1030,1005,Dearborn Heights,Wayne,Allen Park,Wayne,22,0.07336,387.4562682
53360,S M 39 Service Drive,,5,4,0,Yes,163,163,1030,1030,Dearborn Heights,Wayne,Dearborn Heights,Wayne,22,0.44717,2361.681914
53361,S M 39 Service Drive,Ramp,5,4,0,Yes,163,163,1030,1030,Dearborn Heights,Wayne,Dearborn Heights,Wayne,22,0.1868,986.5913659
53362,S M 39 Service Drive,,5,5,0,Yes,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,0.19735,1042.306911
53363,S M 39 Service Drive,,5,7,0,Yes,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,0.02999,158.386881
53364,S M 39/7 Mile,Ramp,2,1,1,Yes,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,0.1573,830.7210221
53365,S M 39/E I 94,Ramp,1,1,1,Yes,163,163,1005,1005,Allen Park,Wayne,Allen Park,Wayne,22,0.59316,3132.768844
53366,S M 39/E I 96,Ramp,1,1,1,Yes,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,0.26049,1375.711124
53367,S M 39/E M 153,Ramp,3,1,1,Yes,163,163,1025,1025,Dearborn,Wayne,Dearborn,Wayne,22,0.17455,921.8723739
53368,S M 39/E US 12,Ramp,3,1,1,Yes,163,163,1025,1025,Dearborn,Wayne,Dearborn,Wayne,22,0.15521,819.7560674
53369,S M 39/I 94,Ramp,1,1,1,Yes,163,163,1005,1005,Allen Park,Wayne,Allen Park,Wayne,22,0.32334,1707.709079
53370,S M 39/I 96,Ramp,1,1,1,Yes,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,0.23264,1228.657195
53371,S M 39/Joy,Ramp,2,1,1,Yes,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,0.1435,757.8993835
53373,S M 39/M 5,Ramp,2,1,1,Yes,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,0.10115,534.1857561
53374,S M 39/McNichols,Ramp,2,1,1,Yes,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,0.08582,453.2371382
53375,S M 39/Oakwood,Ramp,2,1,1,Yes,163,163,1025,1025,Dearborn,Wayne,Dearborn,Wayne,22,0.14335,757.0725816
53376,S M 39/Outer,Ramp,2,1,1,Yes,163,163,1025,1025,Dearborn,Wayne,Dearborn,Wayne,22,0.10377,548.0411074
53377,S M 39/Rotunda,Ramp,2,1,1,Yes,163,163,1025,1025,Dearborn,Wayne,Dearborn,Wayne,22,0.13293,702.056476
53380,S M 39/Schoolcraft,Ramp,2,1,1,Yes,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,0.07778,410.8027656
53381,S M 39/W I 94,Ramp,1,1,1,Yes,163,163,1005,1005,Allen Park,Wayne,Allen Park,Wayne,22,0.30042,1586.683992
53382,S M 39/W I 96,Ramp,1,1,1,Yes,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,0.1049,554.0193357
53383,S M 39/W M 153,Ramp,2,1,1,Yes,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,0.13373,706.2689471
53384,S M 39/W M 153,Ramp,3,1,1,Yes,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,0.25851,1365.313623
53385,S M 39/W US 12,Ramp,2,1,1,Yes,163,163,1025,1025,Dearborn,Wayne,Dearborn,Wayne,22,0.16996,897.6350511
53386,S M 39/W US 12,Ramp,3,1,1,Yes,163,163,1025,1025,Dearborn,Wayne,Dearborn,Wayne,22,0.31923,1685.986317
53387,S M 39/Warren,Ramp,2,1,1,Yes,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,0.18022,951.829181
53414,S Mercury/W Michigan Cutoff,,5,4,0,Yes,163,163,1025,1025,Dearborn,Wayne,Dearborn,Wayne,22,0.17593,929.1813612
53415,S Merriman/E I 94,Ramp,1,1,1,Yes,163,163,1170,1170,Romulus,Wayne,Romulus,Wayne,22,0.32642,1724.013086
53416,S Merriman/W I 94,Ramp,1,1,1,Yes,163,163,1170,1170,Romulus,Wayne,Romulus,Wayne,22,0.32965,1741.10181
53417,S Middlebelt/W I 94,Ramp,1,1,1,Yes,163,163,1170,1170,Romulus,Wayne,Romulus,Wayne,22,0.1652,872.5407882
53419,S Military/Cherry Hill Cutoff,,5,4,0,Yes,163,163,1025,1025,Dearborn,Wayne,Dearborn,Wayne,22,0.02542,134.2496196
53430,S Outer/N I 75,Ramp,1,1,1,Yes,163,163,1125,1125,Melvindale,Wayne,Melvindale,Wayne,22,0.03612,190.7242499
53431,S Outer/N I 75,Ramp,3,1,1,Yes,163,163,1125,1125,Melvindale,Wayne,Melvindale,Wayne,22,0.04669,246.6104163
53432,S Outer/S I 75,Ramp,1,1,1,Yes,163,163,1115,1115,Lincoln Park,Wayne,Lincoln Park,Wayne,22,0.04135,218.3881486
53437,S Schaefer/I 94,Ramp,1,1,1,Yes,163,163,1025,1025,Dearborn,Wayne,Dearborn,Wayne,22,0.13242,699.3846458
53442,S Telegraph/E I 94,Ramp,1,1,1,Yes,163,163,1185,1185,Taylor,Wayne,Taylor,Wayne,22,0.09847,520.0487018
53504,S US 24 CD,,3,1,1,Yes,163,163,1150,1150,Redford Twp,Wayne,Redford Twp,Wayne,22,0.5845,3086.981411
53505,S US 24/E M 102,Ramp,3,1,1,Yes,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,0.12234,646.095205
53506,S US 24/E US 12,Ramp,3,1,1,Yes,163,163,1025,1025,Dearborn,Wayne,Dearborn,Wayne,22,0.10994,580.6642313
53507,S US 24/Ecorse,Ramp,3,1,1,Yes,163,163,1185,1185,Taylor,Wayne,Taylor,Wayne,22,0.15915,840.5846618
53508,S US 24/M 153,Ramp,3,1,1,Yes,163,163,1030,1030,Dearborn Heights,Wayne,Dearborn Heights,Wayne,22,0.14321,756.3602621
53515,S US 24/W US 12,Ramp,3,1,1,Yes,163,163,1025,1025,Dearborn,Wayne,Dearborn,Wayne,22,0.11305,597.0607243
53516,S Vining/E I 94,Ramp,1,1,1,Yes,163,163,1170,1170,Romulus,Wayne,Romulus,Wayne,22,0.52875,2792.695122
53517,S Wayne/E I 94,Ramp,1,1,1,Yes,163,163,1170,1170,Romulus,Wayne,Romulus,Wayne,22,0.20676,1092.063724
53518,S Wayne/E Michigan Cutoff,Ramp,3,2,1,Yes,163,163,1205,1205,Wayne,Wayne,Wayne,Wayne,22,0.06456,340.9559967
53519,S Wayne/W I 94,Ramp,1,1,1,Yes,163,163,1170,1170,Romulus,Wayne,Romulus,Wayne,22,0.13221,698.2864615
53521,S Wyoming/S M 10,Ramp,2,1,1,Yes,163,163,5,5,Detroit,Wayne,Detroit,Wayne,22,0.23807,1257.322868
53533,Sabol,St,7,3,0,No,163,163,1015,1015,Brownstown Twp,Wayne,Brownstown Twp,Wayne,22,0.07078,373.8064284
